                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5299,                 114.23,                 2.3101,                 0.0625,                0.01043,                0.03337,                0.00719,                 5.0241,                 37.701,                 2.0917,             0.00065608,             0.00065608,             0.00065608
                      2,                 3.4397,                 6.0301,                 1.3561,                0.53729,                0.21904,                0.19922,                0.05153,                 2.8845,                 3.0738,                 1.0995,              0.0013097,              0.0013097,              0.0013097
                      3,                 3.0339,                 4.4968,                 1.1865,                0.40374,                0.22947,                0.14348,                0.03456,                 3.1106,                 2.0412,                 1.1137,                0.00195,                0.00195,                0.00195
                      4,                    2.9,                 3.6469,                  1.152,                0.61438,                0.28031,                0.28573,                0.08189,                 2.6993,                 1.1963,                  1.009,              0.0019406,              0.0019406,              0.0019406
                      5,                  2.759,                 3.0552,                 1.0764,                0.56546,                0.28944,                0.26853,                0.07236,                 2.7044,                 1.3711,                 1.0094,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.6094,                 2.5565,                 1.0588,                0.64246,                0.28816,                0.27991,                0.08299,                  2.554,                  1.558,                 1.0012,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.6012,                 2.1492,                 1.0564,                0.53168,                0.26597,                0.21127,                 0.0575,                 2.8726,                 1.3034,                 1.0637,               0.001901,               0.001901,               0.001901
                      8,                 2.5681,                 1.8838,                 1.0573,                0.58738,                 0.2764,                0.26445,                0.07894,                 2.7402,                 1.2741,                 1.0271,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.5376,                 1.7208,                 1.0496,                0.63352,                0.29976,                0.29551,                0.08358,                 2.6279,                  1.201,                  1.005,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.5034,                 1.5973,                 1.0348,                0.61793,                0.30117,                0.32251,                0.10197,                 2.6257,                 1.0936,                0.99572,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.4542,                 1.4664,                 1.0247,                0.58927,                0.27901,                0.25276,                0.07659,                 2.7115,                 1.2588,                 1.0062,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.3901,                 1.3637,                 1.0194,                0.70014,                0.33377,                0.35322,                0.11761,                 2.3753,                 1.0571,                0.95689,               0.001802,               0.001802,               0.001802
                     13,                 2.4052,                 1.3292,                  1.028,                0.72803,                0.34203,                0.37622,                0.12543,                 2.4125,                 1.0653,                0.97223,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.4062,                 1.3003,                 1.0226,                0.55364,                0.26467,                0.21542,                0.05636,                 2.8028,                 1.4638,                  1.009,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.3322,                 1.2401,                0.99471,                0.66739,                0.30608,                0.30833,                0.10165,                 2.4172,                 1.0746,                0.96458,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.3988,                  1.287,                 1.0314,                 0.6656,                0.34159,                0.35599,                0.12546,                 2.3592,                 1.0666,                0.96024,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.3339,                 1.2489,                 1.0159,                0.64496,                0.32595,                0.33813,                0.12226,                 2.4179,                 1.1337,                0.97508,               0.001703,               0.001703,               0.001703
                     18,                 2.3052,                 1.1811,                0.99859,                0.66412,                0.33898,                0.34353,                0.11225,                 2.3608,                 1.1118,                 0.9554,              0.0016832,              0.0016832,              0.0016832
                     19,                  2.317,                 1.1983,                 1.0069,                0.71848,                0.32941,                0.34109,                0.11031,                 2.3993,                   1.08,                0.96691,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.3012,                 1.1876,                0.99661,                0.69327,                0.35854,                0.38738,                0.14221,                 2.1945,                  1.047,                0.93794,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.3646,                  1.244,                 1.0061,                0.78037,                0.33768,                 0.3754,                0.12293,                 2.3786,                 1.0862,                0.96227,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.2503,                 1.1762,                0.98675,                0.68534,                 0.3442,                 0.3571,                0.12768,                 2.2602,                 1.1033,                0.94403,               0.001604,               0.001604,               0.001604
                     23,                 2.2874,                 1.1644,                0.98948,                0.66325,                0.29857,                  0.295,                0.09385,                 2.6031,                 1.3054,                0.99313,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.3008,                 1.1408,                 0.9723,                0.72267,                0.32275,                0.36174,                0.12642,                 2.3373,                 1.0652,                0.94521,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.2135,                 1.1108,                0.98537,                0.75456,                0.36767,                0.41529,                0.15768,                 2.1757,                 1.0068,                0.94501,              0.0015446,              0.0015446,              0.0015446
                     26,                  2.279,                 1.1181,                 1.0077,                0.75804,                0.35536,                0.38534,                0.13413,                 2.2627,                 1.1305,                0.92406,              0.0015248,              0.0015248,              0.0015248
