                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8628,                 115.54,                 2.2867,                      0,                      0,                      0,                      0,                 5.1708,                 56.433,                 2.0798,             0.00065608,             0.00065608,             0.00065608
                      2,                 3.7588,                 6.1616,                 1.3585,                0.46038,                0.20991,                0.17405,                0.04661,                 3.2991,                 3.4785,                 1.1114,              0.0013097,              0.0013097,              0.0013097
                      3,                 3.1807,                 4.4453,                 1.1439,                0.39612,                0.22835,                0.14227,                0.03552,                 3.4058,                 2.7049,                 1.1201,                0.00195,                0.00195,                0.00195
                      4,                 3.1091,                  3.729,                  1.153,                0.47679,                0.23598,                0.19694,                0.04864,                 3.3457,                 1.2745,                 1.0915,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.0277,                 3.1826,                 1.0924,                0.61303,                0.26206,                0.23054,                0.06509,                 2.9873,                 1.3351,                 1.0305,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.8645,                 2.5557,                 1.0718,                0.48609,                0.25651,                 0.2126,                0.06238,                 3.0574,                 1.2305,                 1.0208,              0.0019208,              0.0019208,              0.0019208
                      7,                  2.776,                 2.2001,                 1.0702,                0.60873,                0.30223,                0.28983,                0.08859,                 2.7528,                 1.2062,                0.99126,               0.001901,               0.001901,               0.001901
                      8,                 2.7034,                 1.8837,                 1.0613,                0.51926,                 0.2412,                0.21011,                0.05843,                 3.3224,                 1.3945,                 1.0742,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.6851,                 1.7587,                 1.0416,                0.58714,                0.27901,                0.24784,                0.07137,                 2.9233,                 1.4351,                0.99876,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.6477,                  1.628,                 1.0428,                0.70205,                0.33507,                0.35293,                0.11393,                 2.5034,                 1.0686,                0.96774,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.6543,                 1.4932,                 1.0278,                0.55044,                0.27771,                0.24905,                0.07404,                 2.9355,                  1.271,                0.99745,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.5413,                 1.3906,                 1.0237,                0.72387,                 0.3247,                0.33751,                0.10898,                 2.6686,                 1.2104,                 1.0155,               0.001802,               0.001802,               0.001802
                     13,                  2.545,                  1.338,                 1.0331,                0.54864,                0.27249,                0.25302,                0.06456,                 3.1009,                 1.2798,                 1.0663,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.5574,                 1.3094,                 1.0204,                0.68443,                0.33649,                0.36239,                0.11177,                 2.5966,                  1.136,                0.96882,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.5311,                 1.2818,                0.99977,                0.64499,                0.29857,                0.29076,                0.09597,                 2.7655,                 1.1144,                0.99333,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.5416,                 1.3027,                 1.0339,                0.66869,                0.32725,                0.32543,                0.10464,                 2.6708,                 1.2078,                0.98786,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.4912,                 1.2593,                 1.0223,                0.61073,                0.28814,                0.28676,                0.08309,                 3.0972,                 1.3366,                 1.0588,               0.001703,               0.001703,               0.001703
                     18,                 2.4849,                 1.2052,                 1.0111,                0.66453,                0.31421,                0.31951,                0.10333,                 2.5473,                 1.0954,                0.94805,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.5011,                 1.2024,                 1.0091,                0.67395,                0.32073,                0.32007,                0.10488,                  2.638,                 1.0772,                0.97597,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.4774,                 1.1838,                 1.0051,                0.67123,                0.32209,                  0.331,                0.10485,                 2.6231,                 1.1137,                0.95533,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.4897,                 1.2365,                 1.0103,                0.72316,                0.34811,                0.36344,                0.12258,                 2.4943,                 1.1095,                0.95465,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.3895,                 1.1716,                0.98877,                0.75097,                0.36245,                 0.3919,                 0.1424,                 2.3403,                 1.0165,                0.95495,               0.001604,               0.001604,               0.001604
                     23,                 2.4524,                 1.1606,                0.98914,                0.63529,                0.30508,                0.28046,                0.08979,                 2.7717,                 1.3317,                0.99537,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.4145,                 1.1458,                0.97505,                0.68989,                0.34225,                0.38726,                  0.142,                 2.4916,                 1.0277,                0.94759,              0.0015644,              0.0015644,              0.0015644
                     25,                  2.408,                 1.1485,                0.99087,                0.72826,                0.34941,                0.38597,                0.13788,                 2.4914,                 1.0549,                0.95806,              0.0015446,              0.0015446,              0.0015446
