                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9707,                 108.84,                 2.3691,                      0,                      0,                      0,                      0,                 5.3021,                  51.63,                 1.6555,             0.00065608,             0.00065608,             0.00065608
                      2,                 3.8057,                 6.0653,                 1.3512,                0.39844,                 0.1875,                0.14981,                0.03764,                  3.272,                  2.995,                 1.0943,              0.0013097,              0.0013097,              0.0013097
                      3,                 3.2159,                 4.3382,                  1.185,                0.31095,                0.15931,                0.09932,                 0.0256,                 3.4393,                 1.7917,                 1.1211,                0.00195,                0.00195,                0.00195
                      4,                 3.1178,                  3.887,                 1.1185,                0.50122,                0.22794,                0.19204,                0.05022,                  3.046,                 1.3194,                 1.0142,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.0517,                  3.297,                 1.1054,                0.45012,                0.19853,                0.15748,                0.04708,                 3.0019,                  1.636,                 1.0216,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.8977,                 2.6564,                 1.0683,                0.49683,                0.21078,                0.18635,                0.05124,                 3.1485,                 1.2301,                 1.0291,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.8781,                 2.2596,                 1.0625,                0.49252,                0.21936,                0.18707,                0.05718,                 2.9322,                 1.3609,                 1.0026,               0.001901,               0.001901,               0.001901
                      8,                 2.7881,                 1.9202,                 1.0789,                0.53576,                0.24265,                0.21669,                0.05575,                 3.0428,                 1.2815,                 1.0446,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.7802,                 1.7624,                 1.0506,                 0.5067,                0.22181,                0.18031,                0.05356,                 2.9056,                 1.3721,                0.99691,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.7779,                 1.6266,                  1.056,                0.54962,                0.23897,                0.24145,                 0.0791,                 2.7436,                 1.2452,                 0.9818,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.7126,                 1.4876,                 1.0257,                0.56574,                0.25368,                0.25857,                0.08517,                  2.669,                 1.2018,                0.96958,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.6137,                 1.4149,                 1.0263,                0.51691,                0.24142,                0.23334,                0.07738,                 2.7228,                 1.2719,                 0.9728,               0.001802,               0.001802,               0.001802
                     13,                 2.5587,                 1.3622,                  1.042,                0.65277,                0.25245,                0.23957,                0.07073,                 2.8109,                  1.354,                 1.0023,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.6609,                 1.3392,                 1.0589,                0.53661,                0.22549,                0.21707,                0.06623,                 2.9492,                 1.2599,                0.99476,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.5384,                 1.3008,                 1.0253,                0.52234,                0.22515,                0.21519,                0.06808,                 2.8391,                 1.1806,                0.97917,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.6015,                  1.268,                 1.0303,                0.53668,                0.21569,                0.21054,                0.06577,                 2.7972,                  1.211,                0.97697,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.5683,                 1.2613,                 1.0408,                0.51657,                0.21324,                0.22182,                0.06746,                 2.8302,                 1.2105,                 0.9779,               0.001703,               0.001703,               0.001703
                     18,                 2.5765,                 1.2382,                0.98535,                0.52219,                0.23529,                0.21299,                0.06905,                 2.7127,                 1.2626,                0.97127,              0.0016832,              0.0016832,              0.0016832
