                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2881,                 2.5698,                 2.9074,                 0.5366,                0.58521,                0.53883,                0.17665,                 2.4046,                 1.6891,                 2.2732,              0.0033278,              0.0033278,              0.0033278
                      2,                 2.5583,                 1.7074,                 2.0219,                0.65852,                 0.6207,                0.65133,                0.20918,                 2.3401,                 1.4497,                 2.1265,              0.0066392,              0.0066392,              0.0066392
                      3,                 2.4367,                 1.5507,                 1.8911,                0.61892,                 0.6906,                0.64241,                0.23176,                 2.2036,                 1.4408,                 1.9798,              0.0099285,              0.0099285,              0.0099285
                      4,                 2.3734,                 1.4108,                   1.82,                0.77357,                0.74787,                0.78849,                0.28347,                 2.1949,                 1.2967,                   1.95,               0.009901,               0.009901,               0.009901
                      5,                 2.3248,                 1.2527,                 1.7656,                0.84587,                0.81387,                0.84615,                0.31623,                 2.1847,                 1.0946,                 1.9163,               0.009901,               0.009901,               0.009901
                      6,                 2.2955,                 1.1602,                 1.7491,                0.84084,                0.81333,                0.86021,                0.32521,                  2.146,                 1.0887,                  1.892,               0.009868,               0.009868,               0.009868
                      7,                 2.2785,                 1.1059,                 1.7468,                0.89081,                0.86156,                0.89994,                0.35064,                 2.1531,                0.96854,                  1.909,               0.009835,               0.009835,               0.009835
                      8,                 2.2601,                 1.0613,                 1.7205,                0.87588,                0.85654,                0.88715,                0.34245,                 2.1309,                0.96231,                 1.8681,               0.009802,               0.009802,               0.009802
                      9,                 2.2497,                 1.0274,                 1.7217,                0.87631,                0.86567,                0.89577,                0.33089,                 2.1582,                0.99512,                 1.9279,               0.009769,               0.009769,               0.009769
                     10,                  2.245,                 1.0215,                 1.7186,                0.88949,                0.86357,                0.90254,                0.34844,                 2.1578,                0.92603,                 1.8991,               0.009736,               0.009736,               0.009736
                     11,                 2.2374,                 1.0045,                  1.711,                0.89169,                0.87657,                  0.906,                0.34864,                 2.1313,                0.93717,                 1.8813,               0.009703,               0.009703,               0.009703
                     12,                  2.231,                0.98665,                 1.6972,                0.89907,                0.89217,                0.92096,                0.36406,                 2.1241,                0.88711,                 1.9067,                0.00967,                0.00967,                0.00967
                     13,                 2.2169,                 0.9741,                 1.6987,                0.91455,                0.89602,                0.92514,                0.36897,                 2.1095,                0.85562,                  1.883,               0.009637,               0.009637,               0.009637
                     14,                 2.2073,                0.95581,                 1.6966,                0.90615,                0.88892,                0.92545,                0.37133,                 2.0874,                0.87785,                 1.8586,               0.009604,               0.009604,               0.009604
                     15,                 2.2008,                0.94564,                 1.6919,                0.91011,                   0.89,                0.92358,                 0.3626,                 2.1466,                0.87362,                 1.8983,               0.009571,               0.009571,               0.009571
                     16,                 2.2148,                0.94602,                 1.7018,                0.91548,                0.89799,                 0.9268,                0.37122,                  2.119,                0.83577,                 1.8818,               0.009538,               0.009538,               0.009538
                     17,                 2.1869,                0.92005,                 1.6817,                0.91906,                 0.9068,                0.92895,                0.36726,                 2.1106,                0.82161,                 1.8715,               0.009505,               0.009505,               0.009505
                     18,                 2.1965,                0.91327,                 1.6871,                0.91928,                0.90709,                0.93633,                0.38473,                 2.0815,                0.81461,                 1.8462,               0.009472,               0.009472,               0.009472
                     19,                 2.1823,                0.91768,                 1.6764,                0.92521,                0.91086,                 0.9401,                0.38484,                 2.0622,                0.81976,                 1.8364,               0.009439,               0.009439,               0.009439
                     20,                 2.1822,                0.90777,                 1.6789,                 0.9181,                 0.9051,                0.93201,                0.37988,                 2.0869,                0.82083,                 1.8589,               0.009406,               0.009406,               0.009406
                     21,                 2.1758,                0.91402,                 1.6717,                0.91804,                0.91059,                0.93496,                0.38251,                 2.1056,                0.79844,                 1.8624,               0.009373,               0.009373,               0.009373
