                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5981,                 155.41,                 3.0448,                      0,                      0,                      0,                      0,                 6.4889,                 23.552,                 4.1463,                 0.0003,                 0.0003,                 0.0003
                      2,                  4.951,                  75.38,                 3.1199,                      0,                      0,                      0,                      0,                 6.3253,                  23.22,                 3.9429,             0.00061795,             0.00061795,             0.00061795
                      3,                 4.1962,                 10.728,                 2.7229,                      0,                      0,                      0,                      0,                  5.406,                 18.433,                 3.4453,              0.0009338,              0.0009338,              0.0009338
                      4,                 3.7269,                 5.5224,                 1.6561,                0.11364,                0.03289,                0.07336,                0.02428,                 4.9145,                  10.66,                 2.3915,              0.0012475,              0.0012475,              0.0012475
                      5,                  3.363,                 4.5406,                 1.4454,                0.15541,                0.45395,                0.33272,                0.10359,                 3.3597,                 3.9594,                 1.6427,              0.0015591,              0.0015591,              0.0015591
                      6,                 3.1816,                 3.8054,                 1.3656,                0.60522,                  0.375,                0.41365,                0.11965,                   2.99,                 2.9103,                 1.4349,              0.0018686,              0.0018686,              0.0018686
                      7,                 3.1301,                 3.5469,                 1.2771,                0.34717,                  0.375,                0.22098,                0.05279,                  3.127,                 2.6215,                 1.5273,              0.0019604,              0.0019604,              0.0019604
                      8,                 2.8785,                 2.9656,                 1.2588,                0.66087,                0.53289,                0.54292,                 0.1673,                 2.7545,                 1.9111,                 1.3585,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.7921,                 3.0445,                 1.2391,                0.57141,                0.55263,                0.51809,                0.16279,                  2.761,                 1.5405,                 1.3378,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.6592,                 2.7056,                 1.1907,                0.61346,                 0.5534,                0.50154,                0.17931,                 2.7012,                 1.4804,                 1.3305,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.5231,                 2.5155,                  1.197,                0.62862,                0.57237,                0.51924,                0.18142,                 2.7202,                 1.4693,                 1.3193,              0.0019406,              0.0019406,              0.0019406
                     12,                 2.5415,                 2.3456,                 1.1694,                0.57371,                0.53947,                0.46209,                0.16127,                 2.8045,                 1.4515,                  1.321,               0.001934,               0.001934,               0.001934
                     13,                 2.4747,                   2.31,                 1.1678,                0.70396,                    0.5,                0.49548,                0.16041,                 2.7303,                 1.1694,                 1.2948,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.3868,                 2.1778,                 1.0914,                0.79731,                0.54349,                0.54248,                0.21529,                 2.5102,                 1.1369,                 1.2711,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.3544,                 2.1176,                 1.1295,                0.68401,                0.54605,                0.49946,                0.16599,                 2.6849,                 1.1423,                   1.32,              0.0019142,              0.0019142,              0.0019142
                     16,                 2.3176,                 2.0089,                 1.1314,                0.74791,                0.53289,                0.54617,                0.20478,                 2.3721,                 1.1397,                 1.2001,              0.0019076,              0.0019076,              0.0019076
                     17,                 2.2931,                 2.1021,                 1.1092,                0.69802,                 0.6083,                0.55229,                0.19726,                 2.3691,                 2.0774,                 1.1879,               0.001901,               0.001901,               0.001901
                     18,                 2.2701,                 1.8869,                 1.1063,                0.77002,                0.55071,                0.51857,                0.21882,                 2.3361,                 1.3655,                 1.2086,              0.0018944,              0.0018944,              0.0018944
                     19,                 2.2135,                 1.8406,                 1.1075,                0.70192,                0.57237,                0.54443,                0.19829,                 2.4778,                  1.344,                 1.2497,              0.0018878,              0.0018878,              0.0018878
                     20,                 2.2618,                 1.8362,                 1.0785,                0.69953,                0.59211,                0.55908,                0.21682,                 2.5287,                 1.5959,                 1.2712,              0.0018812,              0.0018812,              0.0018812
                     21,                 2.2894,                 1.7596,                 1.0491,                0.81089,                0.59868,                0.62238,                0.23909,                 2.3105,                 1.1184,                 1.1971,              0.0018746,              0.0018746,              0.0018746
                     22,                 2.2803,                  1.699,                 1.1295,                0.74731,                0.57237,                0.58188,                0.22846,                 2.3998,                 1.1342,                 1.2435,               0.001868,               0.001868,               0.001868
                     23,                 2.2963,                 1.7321,                  1.128,                0.79263,                0.59211,                0.61457,                0.24602,                 2.4592,                 1.1209,                 1.2439,              0.0018614,              0.0018614,              0.0018614
                     24,                 2.1726,                 1.5603,                 1.0727,                0.73794,                0.61136,                0.62077,                0.27302,                 2.1001,                 1.0514,                 1.1508,              0.0018548,              0.0018548,              0.0018548
                     25,                 2.2527,                 1.5406,                 1.0681,                0.78479,                0.59979,                0.63803,                0.21398,                 2.4409,                 1.0755,                 1.2476,              0.0018482,              0.0018482,              0.0018482
                     26,                 2.2632,                 1.5523,                 1.0904,                0.73749,                0.55451,                0.56781,                0.21297,                 2.4362,                 1.1144,                 1.2662,              0.0018416,              0.0018416,              0.0018416
                     27,                 2.2227,                  1.497,                 1.0716,                0.74382,                0.53488,                0.51092,                0.17505,                 2.6829,                 1.3776,                  1.338,               0.001835,               0.001835,               0.001835
                     28,                 2.2487,                 1.4417,                 1.0878,                0.79922,                0.57895,                0.63049,                0.22653,                 2.4035,                 1.1208,                 1.1965,              0.0018284,              0.0018284,              0.0018284
                     29,                 2.1391,                 1.3522,                 1.0465,                0.82951,                0.59211,                0.62368,                0.24428,                  2.209,                 1.2232,                 1.1727,              0.0018218,              0.0018218,              0.0018218
                     30,                 2.1422,                 1.3462,                 1.0981,                0.81373,                0.57237,                0.58712,                0.22776,                 2.2301,                 1.0183,                 1.1918,              0.0018152,              0.0018152,              0.0018152
                     31,                 2.2052,                 1.3691,                 1.0486,                 0.7171,                0.60526,                 0.5453,                0.21659,                 2.2635,                 1.1371,                 1.1706,              0.0018086,              0.0018086,              0.0018086
                     32,                 2.1586,                 1.3517,                 1.0728,                0.84413,                0.61184,                0.64696,                0.23996,                 2.2673,                 1.0388,                 1.1678,               0.001802,               0.001802,               0.001802
                     33,                 2.1232,                 1.3071,                  1.087,                0.75367,                0.53289,                0.50591,                0.20114,                 2.3469,                  1.172,                  1.203,              0.0017954,              0.0017954,              0.0017954
                     34,                 2.0856,                 1.2604,                 1.0476,                0.80857,                0.61136,                0.61852,                0.25003,                 2.1984,                 1.0218,                 1.1554,              0.0017888,              0.0017888,              0.0017888
                     35,                 2.1273,                 1.2193,                 1.0361,                0.75535,                0.60937,                0.59101,                0.24234,                 2.4313,                 1.0309,                 1.3298,              0.0017822,              0.0017822,              0.0017822
                     36,                 2.1056,                 1.1956,                 1.0499,                0.79114,                0.63158,                0.64334,                0.28065,                 2.3057,                 1.0036,                 1.2236,              0.0017756,              0.0017756,              0.0017756
                     37,                 2.0453,                 1.1526,                 1.0765,                0.81949,                0.58553,                 0.6297,                0.26484,                 2.2329,                 1.0401,                 1.2154,               0.001769,               0.001769,               0.001769
                     38,                  2.144,                 1.2177,                 1.0823,                0.79335,                0.60526,                0.61911,                0.25721,                 2.2044,                0.97805,                  1.187,              0.0017624,              0.0017624,              0.0017624
                     39,                 2.0241,                 1.1429,                 1.0609,                0.77588,                0.59216,                0.60913,                0.25161,                 2.3169,                 1.0662,                 1.2197,              0.0017558,              0.0017558,              0.0017558
                     40,                 2.0171,                 1.1008,                 1.0483,                0.82718,                0.61184,                 0.6373,                0.26323,                 2.2586,                 0.9583,                 1.1954,              0.0017492,              0.0017492,              0.0017492
                     41,                  2.044,                 1.1464,                 1.0329,                0.77637,                 0.6167,                0.62248,                0.26488,                  2.174,                0.98765,                 1.1726,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.9815,                 1.0702,                 1.0229,                0.85271,                0.59211,                 0.6239,                0.27166,                 2.2773,                0.96231,                 1.2361,               0.001736,               0.001736,               0.001736
                     43,                 1.9867,                 1.0801,                 1.0484,                 0.7961,                0.58553,                0.59703,                0.26517,                 2.2792,                 1.0199,                 1.2528,              0.0017294,              0.0017294,              0.0017294
                     44,                 2.0253,                 1.0508,                 1.0264,                0.82222,                0.60854,                0.62697,                0.22188,                 2.4847,                 1.0964,                 1.2845,              0.0017228,              0.0017228,              0.0017228
                     45,                 2.1068,                 1.1264,                 1.0563,                0.80061,                0.58117,                0.60975,                0.21063,                 2.5592,                 1.0684,                 1.3177,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.9836,                 1.1237,                 1.0191,                0.81909,                  0.625,                 0.6482,                0.29176,                 2.1071,                0.98178,                 1.1932,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.9929,                 1.0502,                 1.0454,                 0.8101,                 0.5894,                0.62653,                0.26855,                 2.1663,                 1.0726,                 1.1929,               0.001703,               0.001703,               0.001703
                     48,                 1.9971,                 1.0408,                 1.0193,                0.75772,                0.60526,                0.64958,                0.27886,                 2.2594,                 1.0155,                 1.1506,              0.0016964,              0.0016964,              0.0016964
                     49,                 2.0097,                  1.036,                 1.0294,                 0.8298,                0.61184,                0.67489,                 0.2876,                 2.1139,                0.97005,                 1.0894,              0.0016898,              0.0016898,              0.0016898
