                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1052,                 96.583,                 2.4671,                      0,                      0,                      0,                      0,                  4.885,                 65.464,                 1.9975,             0.00065608,             0.00065608,             0.00065608
                      2,                 3.8969,                 6.2802,                  1.408,                0.50184,                0.21015,                0.19572,                0.05722,                 3.1478,                 2.2749,                 1.1188,              0.0013097,              0.0013097,              0.0013097
                      3,                 3.2058,                 4.3883,                 1.1955,                0.45514,                0.26728,                0.19496,                0.04813,                 3.1101,                 1.6526,                 1.0913,                0.00195,                0.00195,                0.00195
                      4,                 3.0493,                 3.5937,                 1.1538,                0.53041,                0.30117,                0.24728,                0.06911,                 2.8638,                 1.5037,                 0.9904,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.0924,                 3.1997,                 1.1085,                 0.4506,                 0.2412,                0.19451,                0.05157,                 3.0827,                 1.2451,                 1.0341,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.8365,                 2.6304,                 1.0864,                0.58348,                0.28422,                0.25714,                0.07958,                 2.8083,                 2.2109,                 1.0138,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.7942,                 2.2766,                 1.0696,                 0.6516,                0.32725,                0.34688,                  0.103,                 2.7074,                 1.1167,                 0.9925,               0.001901,               0.001901,               0.001901
                      8,                 2.6953,                  1.897,                 1.0531,                0.61232,                0.30117,                0.26186,                0.07974,                 2.8725,                 1.1936,                 1.0144,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.7429,                 1.7742,                 1.0492,                0.59293,                0.31144,                0.28973,                0.09288,                 2.6358,                  1.143,                0.97769,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.6217,                 1.6022,                 1.0391,                0.61715,                0.30378,                0.30566,                0.08808,                 2.8218,                 1.1635,                 1.0126,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.6346,                 1.5255,                 1.0272,                0.58663,                0.29335,                0.27046,                0.07979,                 2.6492,                 1.2588,                0.97691,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.5773,                  1.394,                 1.0324,                0.55346,                0.25163,                0.23821,                0.07013,                 3.2782,                 1.2223,                 1.0642,               0.001802,               0.001802,               0.001802
                     13,                 2.6033,                 1.3568,                 1.0415,                0.62268,                0.30508,                 0.2792,                0.07709,                 2.9088,                 1.2488,                 1.0304,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.5994,                 1.3375,                 1.0277,                0.69196,                0.31421,                0.33673,                0.10561,                 2.6951,                 1.1257,                 0.9785,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.5179,                 1.2899,                 1.0017,                 0.6631,                0.32725,                0.32077,                0.10843,                 2.5584,                 1.1742,                0.95486,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.5764,                 1.3106,                 1.0444,                0.68107,                0.33768,                0.35436,                0.12212,                 2.5429,                 1.0861,                0.97168,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.5137,                 1.2944,                 1.0342,                  0.635,                0.33343,                0.31984,                0.10304,                 2.5719,                 1.2073,                0.95165,               0.001703,               0.001703,               0.001703
                     18,                 2.4956,                 1.2163,                 1.0099,                0.68916,                0.33638,                0.35845,                0.12125,                   2.46,                 1.0725,                0.95551,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.5425,                 1.1944,                 1.0161,                0.72649,                0.33938,                0.36783,                0.12816,                 2.4957,                 1.0347,                0.95728,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.4772,                 1.1918,                 1.0065,                0.68416,                0.31421,                0.32565,                0.10028,                 2.6302,                 1.0871,                0.97339,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.5363,                 1.2448,                 1.0198,                0.68112,                0.32595,                0.34703,                0.12281,                 2.4993,                 1.0642,                0.96066,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.4298,                 1.1915,                0.99623,                0.70613,                0.32582,                0.34896,                0.11863,                 2.5988,                  1.055,                0.97165,               0.001604,               0.001604,               0.001604
                     23,                 2.4694,                 1.1602,                 1.0082,                0.73061,                0.33246,                0.35763,                 0.1202,                 2.6004,                 1.0468,                0.97632,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.4923,                 1.1665,                0.99011,                0.70975,                0.33246,                0.36071,                0.12542,                 2.5169,                 1.0746,                0.95423,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.4141,                  1.134,                0.99732,                0.73158,                 0.3589,                0.40035,                0.14359,                 2.3479,                 1.0092,                0.93165,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.4904,                 1.1529,                 1.0229,                0.71389,                0.34158,                0.37211,                0.13152,                 2.4281,                 1.0539,                0.94015,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.3732,                 1.1061,                0.98763,                0.76279,                0.35217,                0.39883,                0.14917,                 2.4559,                0.98864,                0.95501,               0.001505,               0.001505,               0.001505
                     28,                 2.3871,                 1.0907,                0.99596,                0.74463,                0.32855,                0.36073,                0.12084,                 2.5862,                 1.0445,                0.94909,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.3941,                 1.1001,                0.99524,                0.68658,                0.35415,                0.38943,                0.14605,                 2.3432,                 1.0345,                0.91827,              0.0014654,              0.0014654,              0.0014654
                     30,                  2.371,                 1.0979,                0.97874,                0.73877,                0.34681,                 0.3988,                0.14257,                   2.42,                0.96744,                0.94435,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.3753,                 1.1155,                0.99533,                 0.8037,                0.34681,                0.40767,                0.14757,                 2.3791,                 1.0588,                0.94634,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.4513,                 1.1292,                0.99278,                0.76279,                 0.3354,                0.34261,                0.11336,                 2.5806,                 1.1077,                0.95367,               0.001406,               0.001406,               0.001406
