                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.13915,                 192.77,                0.06205,                      0,                      0,                      0,                      0,                 1.7898,                  151.6,                0.97938,             0.00065608,             0.00065608,             0.00065608
                      2,                 4.5848,                 43.104,                 1.5634,                0.06887,                0.01173,                0.00284,                0.00057,                 5.1849,                 12.045,                 1.3081,              0.0013097,              0.0013097,              0.0013097
                      3,                 4.1408,                 9.4707,                 1.0832,                0.23386,                0.08214,                0.03429,                0.00662,                 4.1508,                 6.2929,                 1.0274,                0.00195,                0.00195,                0.00195
                      4,                 3.7783,                 5.3126,                 1.0195,                0.27624,                0.08344,                0.04438,                0.00817,                 3.8136,                  2.075,                0.99946,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.6537,                 3.6525,                0.94975,                0.31538,                0.09129,                 0.0884,                  0.024,                 3.7167,                 1.8235,                0.96831,              0.0019406,              0.0019406,              0.0019406
                      6,                 3.3491,                 2.6357,                0.95199,                0.40908,                0.12516,                0.11735,                0.03493,                 3.1286,                 1.2364,                0.91485,              0.0019208,              0.0019208,              0.0019208
                      7,                 3.3362,                 2.1612,                0.93628,                0.40578,                0.10684,                 0.1182,                0.03479,                 3.3161,                 1.1599,                 0.9229,               0.001901,               0.001901,               0.001901
                      8,                 3.1648,                 1.8623,                0.92229,                0.31728,                0.08866,                0.09862,                0.02982,                  3.324,                 1.3707,                0.90987,              0.0018812,              0.0018812,              0.0018812
                      9,                 3.2005,                 1.7438,                0.92663,                0.42225,                0.13559,                0.14457,                0.03845,                 3.2225,                 1.2446,                0.92901,              0.0018614,              0.0018614,              0.0018614
                     10,                 3.0683,                  1.647,                0.90049,                0.38015,                0.09778,                0.09966,                0.02495,                 3.5463,                  1.252,                0.95803,              0.0018416,              0.0018416,              0.0018416
                     11,                 3.0333,                 1.5093,                0.90277,                0.40395,                0.13168,                0.14368,                0.04216,                 3.2359,                 1.1552,                0.91737,              0.0018218,              0.0018218,              0.0018218
                     12,                  2.951,                 1.4274,                0.90178,                0.39604,                0.11473,                0.11349,                 0.0239,                 3.6442,                 1.4793,                0.94762,               0.001802,               0.001802,               0.001802
                     13,                 2.9121,                 1.4017,                0.90623,                0.06081,                 0.1382,                0.02488,                0.00838,                 2.9483,                 28.156,                0.90241,              0.0017822,              0.0017822,              0.0017822
                     14,                  2.978,                 1.3047,                  0.901,                0.43684,                0.14211,                0.16932,                0.05285,                 3.0389,                 1.0842,                0.90048,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.8362,                 1.2408,                0.86499,                0.44779,                0.13427,                   0.17,                0.05483,                 2.9606,                 1.0076,                0.89318,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.7642,                  1.309,                0.90187,                0.53606,                0.15515,                0.17709,                0.05796,                 2.8151,                 1.0718,                0.90916,              0.0017228,              0.0017228,              0.0017228
                     17,                  2.784,                 1.3124,                0.87383,                0.52002,                0.14472,                0.16846,                 0.0636,                 2.5578,                0.98809,                0.89746,               0.001703,               0.001703,               0.001703
                     18,                  2.849,                 1.2365,                0.90033,                0.49411,                0.15385,                0.16639,                0.05483,                 2.8091,                  1.006,                0.90399,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.7586,                 1.2205,                0.86951,                0.47941,                0.15906,                0.18111,                0.05968,                 2.7952,                 1.0004,                0.88896,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.7397,                 1.2462,                0.89672,                0.53371,                0.14993,                0.18081,                0.06087,                 2.7506,                0.95014,                0.89002,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.7805,                 1.2657,                0.89651,                0.45066,                0.13584,                0.15447,                0.04729,                 3.0383,                0.99137,                0.90785,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.7287,                 1.1947,                0.88523,                0.51024,                0.15385,                 0.1885,                0.06373,                 2.7208,                0.98503,                0.91799,               0.001604,               0.001604,               0.001604
                     23,                 2.7477,                 1.1549,                0.89029,                0.45206,                0.13168,                0.14689,                0.04954,                 2.8947,                  1.018,                0.89232,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.7341,                 1.1767,                 0.8758,                0.53677,                0.16014,                0.20645,                0.07644,                 2.5777,                0.90958,                0.85888,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.6276,                 1.1077,                0.88625,                0.56975,                0.16037,                0.21401,                0.07351,                 2.7646,                0.94412,                0.87671,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.6229,                 1.1549,                0.89349,                0.47717,                0.14342,                0.15982,                0.05684,                  2.803,                0.95444,                0.89014,              0.0015248,              0.0015248,              0.0015248
                     27,                   2.68,                  1.137,                0.87419,                 0.5414,                0.15699,                0.19966,                 0.0668,                 2.7181,                 0.9487,                0.88262,               0.001505,               0.001505,               0.001505
                     28,                 2.6164,                 1.1317,                0.87812,                0.47545,                0.16428,                0.18863,                0.06076,                 2.8806,                 1.0795,                0.87391,              0.0014852,              0.0014852,              0.0014852
                     29,                  2.592,                 1.0938,                0.87517,                0.60724,                0.16297,                0.22767,                0.08557,                 2.5472,                0.91432,                 0.8674,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.6097,                 1.1167,                0.87307,                0.53795,                0.16949,                0.23165,                0.08164,                 2.5845,                0.93707,                0.86515,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.6319,                 1.1616,                0.86091,                0.51895,                0.15645,                0.18523,                0.07104,                 2.6402,                0.90719,                0.88981,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.6816,                 1.1491,                0.88004,                0.51253,                0.14602,                0.18151,                0.06337,                 2.7468,                0.93703,                0.89033,               0.001406,               0.001406,               0.001406
                     33,                 2.6384,                 1.0965,                0.86169,                0.49885,                0.14733,                0.18959,                0.06896,                  2.752,                0.95759,                 0.8858,              0.0013862,              0.0013862,              0.0013862
                     34,                  2.572,                 1.0749,                0.86075,                0.56337,                0.16949,                0.22548,                0.08504,                 2.5621,                 0.9277,                0.88701,              0.0013664,              0.0013664,              0.0013664
                     35,                  2.459,                 1.0346,                0.85261,                0.57075,                0.16558,                0.21212,                0.08059,                 2.4973,                 0.9175,                0.88095,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.5496,                 1.0474,                0.86451,                 0.5396,                0.15645,                0.22906,                0.08562,                 2.5847,                0.93415,                0.85146,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.5236,                 1.0782,                0.87928,                0.54459,                0.15515,                0.20636,                0.07904,                 2.6119,                0.88531,                0.86201,               0.001307,               0.001307,               0.001307
                     38,                  2.585,                 1.1012,                  0.857,                0.54541,                0.15385,                 0.1986,                0.07269,                 2.6531,                0.88197,                0.87156,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.4574,                 1.0462,                0.86627,                0.53133,                0.15515,                0.20595,                0.07779,                 2.5907,                0.89341,                0.86411,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.4636,                 1.0484,                0.84955,                0.57033,                0.16167,                0.21991,                0.08098,                 2.7382,                0.90326,                0.86213,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.5158,                 1.0559,                0.88229,                0.62309,                0.16037,                  0.215,                0.07876,                 2.6561,                0.85069,                0.86537,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.4618,                 1.0599,                0.85465,                0.58237,                0.16167,                0.21186,                0.07582,                 2.5884,                 0.8591,                0.85502,               0.001208,               0.001208,               0.001208
                     43,                 2.4598,                 1.0559,                0.85597,                0.49148,                0.14472,                0.18975,                0.06676,                 2.7875,                0.93423,                0.86789,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.5113,                 1.0692,                0.85474,                0.52949,                0.16167,                0.20258,                0.07506,                 2.5437,                0.88463,                0.87965,              0.0011684,              0.0011684,              0.0011684
