                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7748,                 67.216,                0.84023,                      0,                      0,                      0,                      0,                0.00952,                0.01074,                0.00413,               0.070476,              0.0032804,              0.0032804
                      2,                 4.1278,                 2.3842,                 1.0704,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040411,              0.0065483,              0.0065483
                      3,                 3.9254,                 2.1032,                 1.0197,                0.09787,                0.03129,                 0.0123,                0.00183,                 4.4778,                 5.3542,                 1.3592,               0.010279,              0.0097501,              0.0097501
                      4,                 3.6795,                 2.0358,                0.99528,                0.09787,                0.03129,                 0.0123,                0.00183,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      5,                 3.7833,                 1.9732,                0.97521,                0.06133,                0.00261,                0.00601,                0.00131,                 5.1871,                 3.2775,                 1.9972,               0.009703,               0.009703,               0.009703
                      6,                 3.5262,                 1.8819,                0.98538,                0.06133,                0.00261,                0.00601,                0.00131,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                      7,                 3.4497,                 1.7271,                0.95454,                0.33126,                0.09778,                0.08731,                0.01937,                 3.3711,                 1.5903,                0.91675,               0.009505,               0.009505,               0.009505
                      8,                 3.2538,                 1.5675,                0.94419,                0.08621,                0.00652,                0.04795,                0.01354,                    4.5,                 6.0911,                 1.1796,               0.009406,               0.009406,               0.009406
                      9,                 3.3609,                 1.6108,                0.95047,                   0.28,                0.00913,                0.14488,                0.05592,                 3.7473,                 5.5346,                 1.0492,               0.009307,               0.009307,               0.009307
                     10,                 3.3015,                   1.64,                0.92401,                   0.28,                0.00913,                0.14488,                0.05592,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                     11,                 3.2107,                 1.6266,                0.92517,                0.09804,                0.01304,                0.05514,                0.01242,                 4.6442,                 4.8608,                 1.1742,               0.009109,               0.009109,               0.009109
                     12,                 3.2195,                 1.5443,                0.93069,                0.33433,                0.08344,                0.08522,                  0.019,                 3.5442,                 1.3481,                0.97618,                0.00901,                0.00901,                0.00901
                     13,                 3.2116,                 1.5902,                0.93681,                0.43156,                0.10195,                0.11713,                0.03024,                 3.3325,                  1.235,                0.94097,               0.008911,               0.008911,               0.008911
                     14,                 3.2369,                 1.4891,                0.94173,                0.23179,                0.09126,                0.16938,                0.05191,                 3.0956,                 2.3475,                0.96581,               0.008812,               0.008812,               0.008812
                     15,                 3.1494,                 1.3857,                0.90752,                 0.3922,                 0.1043,                0.13647,                0.03329,                 3.3839,                 1.3148,                0.93314,               0.008713,               0.008713,               0.008713
                     16,                 3.1123,                 1.4895,                 0.9315,                0.47438,                0.09778,                0.15336,                0.04365,                 3.0995,                 1.4667,                0.88504,               0.008614,               0.008614,               0.008614
                     17,                 3.0206,                 1.5233,                0.91381,                  0.373,                0.08866,                0.10817,                0.02244,                 3.4061,                 1.2425,                0.93773,               0.008515,               0.008515,               0.008515
                     18,                 3.0766,                 1.4026,                0.93639,                0.12037,                0.05085,                0.07937,                0.02382,                 3.5971,                 3.4247,                  1.041,               0.008416,               0.008416,               0.008416
                     19,                 3.1224,                 1.5059,                0.90821,                0.48973,                0.10039,                0.11447,                0.02898,                 3.2153,                 1.4885,                0.91844,               0.008317,               0.008317,               0.008317
                     20,                 3.0258,                 1.4417,                 0.9228,                0.26263,                 0.0678,                0.16276,                0.04629,                 3.3779,                 2.6648,                0.94608,               0.008218,               0.008218,               0.008218
                     21,                 3.0315,                 1.4396,                0.92414,                0.18863,                0.09518,                0.14746,                0.04243,                 3.2873,                 1.8333,                0.95273,               0.008119,               0.008119,               0.008119
                     22,                 2.9335,                 1.3511,                0.91106,                0.47247,                0.12777,                0.12993,                0.03158,                 3.0074,                  1.126,                  0.891,                0.00802,                0.00802,                0.00802
                     23,                 3.0015,                 1.4483,                0.92638,                0.47247,                0.12777,                0.12993,                0.03158,                 3.2877,                 4.6848,                 5.1302,               0.007921,               0.007921,               0.007921
                     24,                 2.9606,                 1.4286,                 0.9052,                0.48482,                0.13168,                0.15129,                0.04296,                 2.9594,                 1.1732,                0.89506,               0.007822,               0.007822,               0.007822
                     25,                 2.9763,                 1.4076,                0.92122,                0.17023,                0.06519,                0.09038,                  0.024,                 3.5475,                 2.2898,                0.95431,               0.007723,               0.007723,               0.007723
                     26,                 2.8621,                 1.3842,                0.92968,                0.58207,                0.11077,                 0.1732,                0.04657,                 3.0785,                 1.1584,                0.91389,               0.007624,               0.007624,               0.007624
                     27,                 2.8748,                 1.3835,                0.89529,                0.23221,                0.08083,                0.15337,                0.04642,                 3.3725,                 2.2916,                0.98996,               0.007525,               0.007525,               0.007525
                     28,                  2.823,                 1.3208,                0.89809,                  0.526,                0.14602,                0.14767,                0.03899,                  2.913,                  1.177,                0.86789,               0.007426,               0.007426,               0.007426
                     29,                 2.8343,                 1.3856,                0.88862,                0.16587,                0.08996,                0.12083,                 0.0294,                 3.5214,                 1.5864,                0.94277,               0.007327,               0.007327,               0.007327
                     30,                 2.8628,                 1.3461,                0.89395,                0.44751,                0.12777,                0.11564,                0.02711,                 3.1253,                 1.4655,                0.89189,               0.007228,               0.007228,               0.007228
                     31,                 2.8315,                  1.406,                0.87847,                0.62951,                0.14081,                0.19953,                0.06395,                 2.7678,                 1.1183,                0.88429,               0.007129,               0.007129,               0.007129
                     32,                 2.7988,                 1.3984,                0.89506,                0.62951,                0.14081,                0.19953,                0.06395,                0.52369,                 1.1154,                 3.0809,                0.00703,                0.00703,                0.00703
                     33,                 2.7969,                 1.3384,                0.88025,                0.56718,                0.13299,                0.16545,                0.05094,                 2.7988,                 1.0303,                 0.8785,               0.006931,               0.006931,               0.006931
                     34,                 2.7534,                 1.2711,                0.88398,                0.60342,                0.13168,                0.19234,                0.05434,                 3.0434,                 1.1759,                0.90475,               0.006832,               0.006832,               0.006832
                     35,                 2.6841,                 1.2526,                0.88286,                0.51364,                0.13299,                0.15216,                0.04565,                 2.9795,                 1.1789,                0.86677,               0.006733,               0.006733,               0.006733
                     36,                 2.7157,                 1.2443,                0.88024,                0.54643,                0.13038,                0.14801,                0.04449,                  2.831,                 1.0451,                0.87695,               0.006634,               0.006634,               0.006634
                     37,                 2.7369,                 1.2558,                0.89013,                0.55379,                0.13168,                 0.1688,                0.05101,                 2.8567,                 1.1391,                0.85877,               0.006535,               0.006535,               0.006535
                     38,                 2.7806,                 1.3436,                0.87587,                 0.5763,                0.14542,                0.18636,                0.05748,                 2.8346,                 1.1305,                 0.8685,               0.006436,               0.006436,               0.006436
                     39,                 2.6943,                 1.2494,                0.89122,                0.46532,                0.14993,                0.19003,                0.06399,                 2.6599,                 1.1055,                0.85343,               0.006337,               0.006337,               0.006337
                     40,                 2.6535,                 1.2822,                0.87482,                0.56254,                0.15515,                0.16885,                 0.0528,                 2.6308,                 1.0295,                0.86321,               0.006238,               0.006238,               0.006238
                     41,                 2.6911,                  1.302,                0.90337,                0.55908,                0.14472,                0.14401,                0.04345,                 2.8156,                 1.0918,                0.87276,               0.006139,               0.006139,               0.006139
                     42,                 2.6457,                 1.2756,                0.86334,                0.55121,                 0.1382,                0.16225,                0.05169,                 2.7079,                 1.1209,                0.85328,                0.00604,                0.00604,                0.00604
