                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6472,                 13.127,                 1.5167,                0.35979,                0.08866,                0.21237,                0.06969,                 3.6622,                 4.0491,                 1.3245,                0.07024,              0.0033067,              0.0033067
                      2,                 3.2847,                 2.0081,                 1.2036,                0.44782,                0.16297,                0.15361,                0.03739,                 3.3565,                 2.1613,                 1.4125,               0.040174,              0.0065743,              0.0065743
                      3,                 3.1656,                  1.905,                 1.1441,                0.54048,                0.20339,                 0.2471,                0.07737,                 3.0122,                 1.9321,                  1.094,               0.010043,              0.0097759,              0.0097759
                      4,                 3.0332,                 1.7761,                 1.1303,                0.54048,                0.20339,                 0.2471,                0.07737,                 4.7078,                 5.6636,                 2.2471,               0.009703,               0.009703,               0.009703
                      5,                 2.9017,                 1.6274,                 1.0773,                 0.1436,                0.10821,                0.11553,                0.04102,                 3.1817,                 4.1696,                 1.0991,               0.009703,               0.009703,               0.009703
                      6,                 2.9102,                 1.6014,                 1.0847,                0.36488,                 0.1573,                0.14471,                0.03873,                 3.1936,                 1.5133,                 1.1261,               0.009604,               0.009604,               0.009604
                      7,                  2.855,                 1.5491,                 1.0726,                 0.4888,                0.26179,                0.21267,                0.05595,                  3.035,                  1.559,                 1.0705,               0.009505,               0.009505,               0.009505
                      8,                  2.795,                 1.5075,                 1.0523,                0.60418,                0.32073,                0.32507,                0.09422,                 2.7896,                 1.4421,                 1.0086,               0.009406,               0.009406,               0.009406
                      9,                 2.7741,                 1.4962,                  1.041,                 0.5759,                 0.2751,                0.31467,                0.10537,                 2.7228,                 1.7002,                 1.0292,               0.009307,               0.009307,               0.009307
                     10,                 2.7559,                 1.5071,                 1.0646,                0.54113,                0.26988,                 0.2644,                   0.08,                 2.6866,                 1.5574,                 1.0984,               0.009208,               0.009208,               0.009208
                     11,                 2.6524,                 1.4403,                 1.0638,                0.53985,                0.26076,                0.24449,                0.06919,                 2.9057,                 1.4433,                 1.0182,               0.009109,               0.009109,               0.009109
                     12,                 2.6051,                 1.4432,                  1.038,                0.65025,                0.29074,                0.31878,                0.10008,                 2.7016,                 1.4973,                0.99691,                0.00901,                0.00901,                0.00901
                     13,                 2.6884,                 1.4027,                 1.0172,                0.59564,                   0.29,                0.30522,                0.08917,                 2.7333,                 1.4646,                 1.0123,               0.008911,               0.008911,               0.008911
                     14,                 2.6297,                  1.395,                 1.0301,                0.40449,                0.04694,                0.22307,                0.07417,                 3.5823,                 4.9059,                 1.3192,               0.008812,               0.008812,               0.008812
                     15,                 2.5807,                 1.3847,                 1.0301,                0.66111,                0.32073,                0.32864,                0.10221,                 2.6168,                 1.3727,                 1.0339,               0.008713,               0.008713,               0.008713
                     16,                 2.5972,                 1.3834,                 1.0352,                0.59456,                0.27723,                 0.2594,                0.07669,                 2.8127,                 1.3591,                 1.0269,               0.008614,               0.008614,               0.008614
                     17,                 2.5746,                 1.3748,                 1.0176,                0.67584,                0.28162,                 0.2628,                 0.0739,                 2.7426,                 1.5484,                 1.0002,               0.008515,               0.008515,               0.008515
