                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0664,                 67.244,                      1,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070476,              0.0032804,              0.0032804
                      2,                 5.3475,                 2.4191,                 1.0682,                0.00447,                0.01825,                0.00026,                  6e-05,                 7.7445,                 937.44,                 1.2438,               0.040411,              0.0065483,              0.0065483
                      3,                 5.0191,                 1.9964,                 1.0003,                 0.0274,                 0.0013,                0.00018,                  3e-05,                 4.4102,                 144.84,                 3.0595,               0.010279,              0.0097501,              0.0097501
                      4,                 4.4815,                 1.9336,                 1.0076,                0.07881,                0.03558,                0.00694,                0.00117,                 5.9945,                 6.7485,                 1.1101,               0.009703,               0.009703,               0.009703
                      5,                 4.5606,                 1.8874,                0.95354,                0.29022,                0.05737,                0.05173,                 0.0109,                 5.0164,                 1.9062,                0.94931,               0.009703,               0.009703,               0.009703
                      6,                 4.6402,                 1.9312,                0.99084,                0.46959,                 0.0013,                0.00606,                0.00088,                 5.0375,                  1.731,                 2.3983,               0.009604,               0.009604,               0.009604
                      7,                 4.4236,                 1.9027,                0.97139,                0.14815,                0.00522,                0.07538,                0.02254,                 7.7022,                 5.1377,                 1.1935,               0.009505,               0.009505,               0.009505
                      8,                 4.1588,                 1.7168,                0.95521,                0.03623,                0.00652,                0.01889,                0.00597,                 3.3049,                 3.7654,                0.73858,               0.009406,               0.009406,               0.009406
                      9,                 4.1542,                 1.6797,                0.95679,                0.03623,                0.00652,                0.01889,                0.00597,                 3.3666,                 3.5641,                 1.0708,               0.009307,               0.009307,               0.009307
                     10,                 4.1523,                 1.7949,                0.94803,                0.01087,                 0.0013,                0.00546,                0.00164,                 7.9231,                 5.4557,                  1.558,               0.009208,               0.009208,               0.009208
                     11,                 4.0711,                 1.7084,                0.94973,                0.23678,                0.04042,                0.03194,                0.00753,                 5.0736,                 1.9461,                 1.0675,               0.009109,               0.009109,               0.009109
                     12,                  3.946,                 1.6558,                0.93907,                0.20325,                0.03259,                0.11516,                0.03777,                 4.7916,                  3.986,                 1.0042,                0.00901,                0.00901,                0.00901
                     13,                 4.0476,                 1.5997,                0.95767,                0.46479,                0.08996,                0.09206,                0.02085,                 4.1612,                 1.4789,                0.92901,               0.008911,               0.008911,               0.008911
                     14,                 3.9992,                 1.5212,                0.94315,                0.41748,                0.05606,                0.22475,                 0.0577,                 4.4923,                 3.1733,                0.96544,               0.008812,               0.008812,               0.008812
                     15,                 3.9153,                 1.4583,                0.90589,                0.27564,                0.05606,                0.16052,                0.04492,                   4.89,                 2.6149,                0.98484,               0.008713,               0.008713,               0.008713
                     16,                  3.801,                 1.5278,                0.92745,                  2e-05,                 0.0013,                  1e-05,                      0,                 5.4524,                 72.208,                 3.2162,               0.008614,               0.008614,               0.008614
                     17,                 3.6553,                 1.5571,                0.91713,                0.40665,                  0.103,                0.10131,                0.02351,                 4.0598,                 1.3387,                0.93634,               0.008515,               0.008515,               0.008515
                     18,                 3.7735,                 1.4811,                0.93462,                0.46987,                0.11864,                0.11999,                0.03221,                 3.7383,                 1.2707,                0.90096,               0.008416,               0.008416,               0.008416
                     19,                 3.7858,                 1.5312,                0.91217,                0.32143,                 0.0704,                0.19044,                0.05583,                 4.2733,                  2.687,                0.96154,               0.008317,               0.008317,               0.008317
                     20,                 3.8419,                 1.5386,                0.94782,                0.12766,                0.04694,                0.07484,                0.02208,                  4.311,                 3.4693,                0.95456,               0.008218,               0.008218,               0.008218
                     21,                 3.6714,                 1.5831,                0.92073,                0.20639,                0.10952,                0.16377,                0.05024,                 3.8271,                 1.8156,                0.92445,               0.008119,               0.008119,               0.008119
                     22,                 3.7423,                 1.4028,                0.91947,                0.46637,                0.09387,                0.12347,                0.03213,                 4.0519,                 1.3617,                0.93767,                0.00802,                0.00802,                0.00802
                     23,                 3.6281,                 1.5126,                 0.9193,                0.49896,                0.10952,                0.12632,                0.03035,                 4.0317,                 1.3132,                 0.9079,               0.007921,               0.007921,               0.007921
                     24,                  3.678,                 1.5513,                0.90868,                0.42408,                0.10691,                0.13425,                0.03825,                 3.9776,                 1.2415,                0.89752,               0.007822,               0.007822,               0.007822
                     25,                 3.5551,                 1.4383,                0.91749,                0.53001,                0.11213,                0.19216,                0.05787,                  3.712,                 1.4241,                0.87307,               0.007723,               0.007723,               0.007723
