                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.683,                 71.892,                 0.9188,                0.04695,                0.01434,                0.00348,                0.00086,                 4.8421,                 8.1168,                 1.3923,               0.070476,              0.0032804,              0.0032804
                      2,                 3.7432,                 1.8745,                 1.0322,                0.22919,                0.04302,                 0.0174,                0.00283,                 4.0482,                 4.4737,                 1.0457,               0.040411,              0.0065483,              0.0065483
                      3,                 3.4605,                  1.636,                0.99852,                0.15236,                 0.0352,                0.01081,                0.00206,                 4.1085,                 5.3571,                 1.0393,               0.010279,              0.0097501,              0.0097501
                      4,                  3.368,                 1.6813,                 1.0015,                0.31028,                0.08214,                 0.0883,                0.02225,                 3.5779,                 1.6954,                0.95171,               0.009703,               0.009703,               0.009703
                      5,                 3.4686,                 1.6952,                0.94805,                0.26194,                0.05476,                0.03653,                0.00777,                 3.9463,                 2.9433,                 1.0114,               0.009703,               0.009703,               0.009703
                      6,                 3.3094,                 1.5108,                0.96131,                0.35716,                0.11213,                0.10364,                0.02592,                  3.163,                 1.8531,                0.89974,               0.009604,               0.009604,               0.009604
                      7,                 3.1035,                 1.4222,                0.92398,                0.35844,                0.08475,                0.07938,                0.01807,                  3.432,                  1.378,                 0.9667,               0.009505,               0.009505,               0.009505
                      8,                  3.148,                 1.4213,                0.95802,                0.37956,                0.09518,                0.08254,                0.01953,                 3.2982,                 2.1583,                0.95238,               0.009406,               0.009406,               0.009406
                      9,                 3.0152,                 1.4847,                0.92557,                0.44963,                0.10226,                0.08456,                0.02087,                 3.2079,                 2.7959,                0.92608,               0.009307,               0.009307,               0.009307
                     10,                 2.9018,                 1.5219,                0.89744,                0.39669,                0.08996,                0.11704,                0.03056,                 3.2736,                 1.2891,                0.91353,               0.009208,               0.009208,               0.009208
                     11,                 2.9886,                 1.4357,                0.90823,                0.46584,                0.12647,                 0.1086,                0.02865,                 3.0416,                 1.6406,                0.91987,               0.009109,               0.009109,               0.009109
                     12,                 2.9781,                 1.4343,                 0.9184,                0.34139,                0.08605,                0.09038,                0.02093,                 3.4417,                 1.2716,                0.94628,                0.00901,                0.00901,                0.00901
                     13,                 2.9486,                 1.3747,                0.91726,                0.35266,                0.08475,                0.06949,                0.01817,                 3.3498,                 1.3852,                0.92583,               0.008911,               0.008911,               0.008911
                     14,                 2.8415,                 1.3035,                0.89998,                0.34123,                0.09518,                  0.073,                0.01642,                 3.3326,                 1.8272,                0.91298,               0.008812,               0.008812,               0.008812
                     15,                   2.83,                 1.2149,                0.88226,                0.41109,                0.10952,                0.11076,                0.03217,                 2.9994,                 1.1943,                0.89797,               0.008713,               0.008713,               0.008713
                     16,                 2.7976,                 1.3337,                0.91408,                0.38222,                0.10821,                0.09428,                0.02502,                 3.1613,                  1.713,                0.88464,               0.008614,               0.008614,               0.008614
                     17,                 2.8426,                 1.4034,                0.91016,                0.58903,                0.12907,                0.14716,                0.04483,                 2.7685,                 1.1381,                0.90189,               0.008515,               0.008515,               0.008515
                     18,                 2.7847,                 1.2401,                0.90488,                 0.5567,                0.12256,                0.14518,                0.04865,                 2.6844,                 1.0391,                0.86927,               0.008416,               0.008416,               0.008416
                     19,                 2.8176,                 1.3904,                0.88992,                0.49265,                0.15254,                0.16079,                 0.0559,                 2.5415,                 1.1241,                0.85923,               0.008317,               0.008317,               0.008317
                     20,                 2.7324,                 1.3166,                0.91062,                0.53797,                0.15124,                0.17674,                0.05895,                 2.5544,                 1.0178,                0.85879,               0.008218,               0.008218,               0.008218
                     21,                 2.8014,                 1.3206,                0.89541,                0.49124,                0.14351,                0.17052,                0.05627,                 2.6222,                 1.0435,                0.85252,               0.008119,               0.008119,               0.008119
                     22,                 2.7448,                  1.254,                0.90094,                0.35943,                0.10039,                 0.0899,                0.02246,                 3.2221,                 1.4287,                0.92867,                0.00802,                0.00802,                0.00802
                     23,                 2.7678,                 1.2616,                0.90359,                0.44167,                0.11734,                0.13436,                0.03468,                 3.2247,                 1.1802,                0.91195,               0.007921,               0.007921,               0.007921
                     24,                 2.7556,                 1.2899,                0.88813,                0.55761,                0.13559,                0.19708,                0.06472,                 2.7501,                 1.0205,                0.89092,               0.007822,               0.007822,               0.007822
                     25,                 2.6913,                 1.2264,                0.89563,                0.41697,                0.11935,                0.10642,                0.03211,                 2.9824,                 1.3903,                 0.9009,               0.007723,               0.007723,               0.007723
                     26,                 2.6919,                 1.2552,                0.91094,                0.48835,                0.13937,                0.15035,                0.04885,                  2.748,                  1.053,                0.89668,               0.007624,               0.007624,               0.007624
                     27,                 2.6519,                  1.207,                0.88129,                0.56327,                0.14125,                0.18294,                0.05497,                 2.8076,                0.99947,                0.87868,               0.007525,               0.007525,               0.007525
                     28,                 2.5975,                 1.2139,                0.88286,                0.51146,                0.14863,                0.18577,                 0.0618,                 2.6162,                 1.0677,                0.87608,               0.007426,               0.007426,               0.007426
                     29,                 2.5685,                 1.2268,                0.87266,                0.57905,                0.15385,                 0.1783,                 0.0545,                 2.5276,                 1.0272,                0.84011,               0.007327,               0.007327,               0.007327
                     30,                 2.6004,                 1.1874,                0.88257,                0.40342,                0.11864,                0.13644,                0.04625,                 2.9061,                 1.1206,                0.88808,               0.007228,               0.007228,               0.007228
                     31,                 2.6333,                 1.2677,                0.87124,                0.53674,                0.14993,                0.18075,                0.06666,                 2.4315,                0.93447,                0.83904,               0.007129,               0.007129,               0.007129
                     32,                 2.5508,                 1.2386,                0.87017,                0.56973,                0.15254,                0.18099,                0.06449,                  2.528,                 0.9519,                0.85429,                0.00703,                0.00703,                0.00703
                     33,                 2.6048,                 1.2205,                0.87201,                0.57532,                0.14837,                0.17806,                 0.0599,                 2.5405,                0.99927,                 0.8659,               0.006931,               0.006931,               0.006931
                     34,                 2.6353,                 1.1889,                0.87865,                 0.5601,                0.17471,                 0.1905,                0.06527,                 2.3891,                 1.0058,                0.87802,               0.006832,               0.006832,               0.006832
                     35,                 2.5439,                 1.1452,                0.87062,                0.60973,                0.15776,                0.21895,                0.07878,                 2.3718,                0.91831,                0.84362,               0.006733,               0.006733,               0.006733
                     36,                 2.5673,                 1.1716,                0.87758,                0.52404,                0.13168,                0.17761,                0.05629,                 2.7614,                 1.0293,                0.87684,               0.006634,               0.006634,               0.006634
                     37,                 2.5377,                 1.1372,                0.87654,                0.52464,                0.14993,                0.18389,                0.06353,                 2.6326,                 1.0062,                0.86001,               0.006535,               0.006535,               0.006535
                     38,                 2.5422,                 1.2206,                 0.8648,                 0.5731,                0.14877,                0.17297,                0.05696,                 2.5138,                 1.0885,                0.84667,               0.006436,               0.006436,               0.006436
                     39,                 2.5127,                 1.1635,                0.88004,                0.44325,                 0.1369,                0.16378,                0.04931,                 2.7964,                 1.1463,                0.87165,               0.006337,               0.006337,               0.006337
                     40,                 2.5312,                 1.2157,                0.86885,                0.45093,                0.14863,                 0.1737,                0.05616,                 2.6246,                 1.1641,                0.89018,               0.006238,               0.006238,               0.006238
                     41,                 2.4774,                 1.1723,                0.88638,                0.61304,                0.14993,                0.20628,                0.07431,                 2.4624,                0.97727,                0.84956,               0.006139,               0.006139,               0.006139
                     42,                  2.434,                 1.1516,                0.85798,                0.58323,                0.15508,                0.17713,                0.05848,                 2.5661,                 1.0171,                0.83811,                0.00604,                0.00604,                0.00604
                     43,                 2.5174,                 1.1962,                0.86251,                 0.5148,                0.14211,                 0.1847,                0.06273,                 2.7326,                0.96355,                0.86019,               0.005941,               0.005941,               0.005941
                     44,                 2.5371,                 1.1521,                0.86193,                0.59841,                0.15385,                 0.2169,                0.07999,                 2.4248,                0.94432,                0.86864,               0.005842,               0.005842,               0.005842
                     45,                 2.4528,                 1.1454,                0.85617,                0.54837,                0.15356,                0.20354,                0.07149,                 2.5781,                 1.0001,                0.86177,               0.005743,               0.005743,               0.005743
                     46,                 2.4691,                 1.1282,                0.88887,                0.52322,                0.14733,                0.19021,                0.06302,                 2.5575,                0.96318,                0.85549,               0.005644,               0.005644,               0.005644
                     47,                 2.4272,                 1.1149,                0.84941,                0.57521,                 0.1536,                0.20361,                0.07486,                 2.4944,                0.92582,                0.85315,               0.005545,               0.005545,               0.005545
                     48,                 2.3811,                 1.1104,                0.84961,                0.57533,                0.15385,                0.18405,                0.06704,                 2.4385,                0.93937,                0.87099,               0.005446,               0.005446,               0.005446
                     49,                 2.4232,                 1.1427,                0.85703,                0.61115,                0.15385,                0.21187,                0.08158,                 2.4312,                0.91535,                0.86206,               0.005347,               0.005347,               0.005347
                     50,                 2.4088,                 1.1697,                0.84127,                0.57337,                0.16646,                0.19456,                0.07186,                 2.3686,                0.91276,                0.85413,               0.005248,               0.005248,               0.005248
                     51,                 2.4011,                 1.1114,                0.85564,                0.57607,                0.16558,                0.19147,                 0.0673,                 2.4093,                 1.0146,                0.85313,               0.005149,               0.005149,               0.005149
                     52,                 2.4193,                 1.0619,                0.85229,                 0.6897,                0.16558,                 0.2324,                0.08785,                 2.3171,                 0.8626,                0.84577,                0.00505,                0.00505,                0.00505
                     53,                 2.3673,                 1.0675,                0.84668,                0.62334,                0.16428,                0.23844,                0.09107,                 2.3848,                0.91157,                0.84987,               0.004951,               0.004951,               0.004951
                     54,                  2.411,                 1.1412,                0.84518,                0.61819,                0.18123,                0.22108,                0.07935,                 2.2761,                0.88986,                  0.851,               0.004852,               0.004852,               0.004852
                     55,                  2.388,                 1.1201,                 0.8653,                0.56208,                0.16949,                0.20244,                0.07402,                 2.3558,                0.88111,                0.85912,               0.004753,               0.004753,               0.004753
                     56,                 2.3727,                 1.0802,                0.86113,                0.53807,                0.15385,                0.18247,                0.05549,                 2.7288,                 1.0827,                 0.8747,               0.004654,               0.004654,               0.004654
                     57,                 2.3582,                 1.0691,                0.84425,                 0.5809,                0.16626,                0.21232,                0.07809,                 2.3632,                0.91993,                 0.8664,               0.004555,               0.004555,               0.004555
                     58,                 2.2889,                 1.0752,                0.85728,                0.51654,                0.14211,                0.17883,                0.05924,                 2.7229,                0.97839,                0.86982,               0.004456,               0.004456,               0.004456
                     59,                 2.4034,                 1.1264,                0.84896,                0.63114,                0.17178,                0.22905,                0.08767,                 2.2985,                0.86439,                0.85715,               0.004357,               0.004357,               0.004357
                     60,                 2.3241,                 1.0389,                0.84969,                0.63862,                0.16359,                0.21197,                0.07592,                 2.3952,                0.88587,                0.84151,               0.004258,               0.004258,               0.004258
                     61,                 2.3991,                 1.1012,                 0.8558,                0.62227,                0.16688,                0.20748,                0.07541,                 2.4174,                0.89006,                0.84132,               0.004159,               0.004159,               0.004159
                     62,                 2.3181,                 1.1264,                0.86475,                0.67329,                0.16297,                0.21262,                0.07504,                 2.4648,                0.92327,                0.86751,                0.00406,                0.00406,                0.00406
                     63,                  2.312,                 1.0957,                0.84878,                0.59235,                0.16297,                0.20105,                0.07163,                 2.4785,                0.92178,                0.84672,               0.003961,               0.003961,               0.003961
                     64,                 2.3075,                 1.0757,                0.84736,                0.65942,                0.17418,                0.21231,                0.07933,                 2.3405,                0.86455,                0.84143,               0.003862,               0.003862,               0.003862
                     65,                 2.2814,                 1.0217,                 0.8651,                0.57706,                0.15776,                0.22073,                0.08802,                 2.2481,                0.86369,                0.84092,               0.003763,               0.003763,               0.003763
                     66,                 2.3488,                 1.1039,                0.85903,                0.66589,                0.16949,                0.21924,                0.07877,                 2.3483,                0.88541,                0.84361,               0.003664,               0.003664,               0.003664
                     67,                 2.3346,                 1.0735,                0.85333,                0.63432,                 0.1734,                0.20745,                0.07799,                 2.3246,                0.88403,                0.84746,               0.003565,               0.003565,               0.003565
                     68,                  2.283,                  1.043,                0.85578,                0.68406,                0.16949,                0.23591,                0.08864,                  2.378,                0.88529,                0.86365,               0.003466,               0.003466,               0.003466
                     69,                 2.2767,                 1.0674,                0.83939,                  0.672,                 0.1708,                0.24536,                0.09794,                 2.1066,                0.82623,                0.84522,               0.003367,               0.003367,               0.003367
                     70,                  2.231,                 1.0188,                0.84465,                0.68325,                0.17471,                0.24851,                 0.0954,                 2.2359,                0.84418,                0.85083,               0.003268,               0.003268,               0.003268
                     71,                 2.3199,                 1.0373,                0.84546,                0.71082,                0.18588,                 0.2621,                0.09489,                 2.2821,                0.84476,                0.83333,               0.003169,               0.003169,               0.003169
                     72,                 2.2667,                 1.0382,                0.85051,                0.64596,                0.16688,                0.22158,                 0.0811,                 2.3606,                0.86306,                0.85361,                0.00307,                0.00307,                0.00307
                     73,                 2.3139,                 1.0582,                0.83335,                0.67083,                0.18644,                0.26122,                0.10053,                 2.2022,                0.83393,                0.83752,               0.002971,               0.002971,               0.002971
                     74,                 2.2856,                 1.0176,                0.84443,                0.57765,                 0.1587,                0.20073,                0.06825,                 2.5248,                0.92988,                0.85641,               0.002872,               0.002872,               0.002872
                     75,                 2.2748,                 1.0319,                0.84557,                0.65005,                0.16953,                0.22012,                0.08438,                 2.2713,                0.84128,                0.83634,               0.002773,               0.002773,               0.002773
                     76,                 2.2375,                 1.0334,                0.83956,                0.65876,                0.18514,                0.25001,                0.09794,                 2.1343,                 0.8221,                0.83278,               0.002674,               0.002674,               0.002674
                     77,                 2.2347,                 1.0445,                0.84387,                0.61786,                0.16037,                0.22702,                0.08816,                 2.2555,                0.85103,                0.84473,               0.002575,               0.002575,               0.002575
                     78,                 2.3111,                  1.052,                 0.8329,                0.62768,                0.16949,                 0.2387,                0.08817,                 2.3746,                0.85559,                0.84059,               0.002476,               0.002476,               0.002476
                     79,                 2.3128,                 1.0462,                0.83582,                0.62057,                0.18644,                 0.2319,                0.08632,                 2.2702,                0.87496,                0.83573,               0.002377,               0.002377,               0.002377
                     80,                 2.2598,                0.99683,                0.83149,                 0.5904,                0.17477,                0.23153,                0.08743,                 2.2403,                0.88067,                0.83233,               0.002278,               0.002278,               0.002278
                     81,                 2.2378,                 1.0266,                0.82533,                 0.6438,                0.18145,                0.24062,                0.09683,                 2.2828,                0.82836,                0.83528,               0.002179,               0.002179,               0.002179
                     82,                 2.2083,                0.98952,                0.84192,                 0.6147,                0.16848,                0.22644,                0.08182,                 2.3041,                0.84508,                0.84033,                0.00208,                0.00208,                0.00208
                     83,                 2.2109,                 1.0135,                0.84967,                0.66652,                0.17862,                 0.2322,                0.09121,                  2.195,                0.84108,                0.84358,               0.001981,               0.001981,               0.001981
                     84,                 2.2204,                 1.0086,                0.84583,                 0.6444,                0.17471,                0.23861,                0.09444,                 2.2411,                0.84413,                0.84746,               0.001882,               0.001882,               0.001882
                     85,                  2.146,                0.97925,                0.83668,                0.66494,                 0.1721,                0.24337,                0.08912,                 2.2943,                0.81952,                0.85704,               0.001783,               0.001783,               0.001783
                     86,                 2.2118,                 1.0183,                0.82207,                0.66206,                0.17625,                0.25681,                0.10607,                 2.1404,                0.80336,                0.84024,               0.001684,               0.001684,               0.001684
                     87,                 2.2098,                 1.0184,                0.82853,                 0.6411,                0.18774,                0.23194,                0.08543,                 2.2516,                0.84879,                0.83851,               0.001585,               0.001585,               0.001585
                     88,                  2.161,                0.96386,                0.84009,                0.68983,                0.17992,                0.25189,                0.09523,                 2.2384,                  0.813,                0.83957,               0.001486,               0.001486,               0.001486
                     89,                 2.1459,                0.97003,                0.83527,                0.68557,                0.17862,                0.26202,                0.10057,                 2.2405,                0.82302,                0.82761,               0.001387,               0.001387,               0.001387
                     90,                 2.1829,                 1.0157,                0.84165,                0.65668,                0.18514,                0.22411,                0.09108,                 2.1383,                0.82312,                0.83206,               0.001288,               0.001288,               0.001288
                     91,                 2.1797,                 1.0114,                0.84813,                0.69227,                0.18514,                0.26459,                0.10361,                 2.2257,                 0.8282,                0.83889,               0.001189,               0.001189,               0.001189
                     92,                 2.2836,                0.98296,                0.84816,                0.66347,                 0.1708,                0.24042,                0.09093,                 2.2937,                0.82876,                0.84248,                0.00109,                0.00109,                0.00109
                     93,                 2.1736,                0.98209,                  0.833,                0.67925,                0.17947,                0.25678,                0.09978,                 2.1996,                 0.8013,                0.83293,               0.000991,               0.000991,               0.000991
