                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7818,                 39.958,                 1.8866,                0.17256,                 0.1382,                 0.0476,                0.01022,                 3.5721,                 7.2968,                 1.4088,               0.070476,              0.0032804,              0.0032804
                      2,                 3.0792,                 1.6023,                 1.1791,                0.31731,                0.24902,                0.14505,                0.03401,                 3.1216,                  16.25,                 1.1056,               0.040411,              0.0065483,              0.0065483
                      3,                 2.8724,                 1.4998,                 1.1139,                0.51241,                0.31376,                0.26606,                0.07059,                 2.6963,                 4.1752,                 1.0235,               0.010279,              0.0097501,              0.0097501
                      4,                 2.8397,                 1.4724,                 1.1251,                 0.3197,                0.21643,                0.13042,                0.03045,                 3.3009,                 14.746,                 1.1211,               0.009703,               0.009703,               0.009703
                      5,                 2.7581,                 1.4826,                 1.0579,                0.59576,                 0.2751,                0.24851,                0.07111,                 2.7119,                 1.4163,                 0.9985,               0.009703,               0.009703,               0.009703
                      6,                 2.6159,                  1.367,                 1.0482,                0.45695,                0.24772,                0.18455,                0.04862,                 3.0021,                  1.872,                 1.0724,               0.009604,               0.009604,               0.009604
                      7,                 2.6509,                  1.379,                  1.054,                0.52646,                0.28031,                0.23772,                0.06534,                 2.7691,                 1.5696,                 1.0206,               0.009505,               0.009505,               0.009505
                      8,                 2.5763,                 1.3327,                 1.0352,                0.58101,                0.27901,                0.24935,                0.07259,                 2.7579,                  1.438,                 1.0388,               0.009406,               0.009406,               0.009406
                      9,                 2.5957,                 1.3806,                 1.0342,                 0.6628,                0.32595,                0.31632,                0.09722,                 2.5288,                 3.2347,                0.97899,               0.009307,               0.009307,               0.009307
                     10,                 2.5456,                 1.3212,                 1.0269,                  0.595,                0.32073,                0.30378,                0.08637,                  2.707,                 1.4056,                 1.0555,               0.009208,               0.009208,               0.009208
                     11,                 2.5653,                 1.2922,                 1.0379,                0.48061,                0.21475,                0.16999,                0.03756,                  3.316,                 2.7495,                 1.0972,               0.009109,               0.009109,               0.009109
                     12,                 2.5158,                 1.3076,                 1.0244,                0.66138,                0.30248,                0.30714,                0.09378,                 2.6305,                 1.6322,                0.98499,                0.00901,                0.00901,                0.00901
                     13,                  2.489,                 1.2781,                 1.0248,                0.65859,                0.30248,                0.29974,                0.09302,                 2.5926,                 1.4123,                0.97599,               0.008911,               0.008911,               0.008911
                     14,                 2.5105,                 1.2824,                 1.0239,                0.62338,                 0.3116,                0.31819,                0.10567,                 2.5679,                 1.1856,                0.95786,               0.008812,               0.008812,               0.008812
                     15,                 2.4741,                 1.2786,                 1.0055,                0.57757,                0.27379,                0.23572,                0.06856,                 2.7173,                 1.7895,                 0.9955,               0.008713,               0.008713,               0.008713
                     16,                 2.5398,                 1.3348,                 1.0359,                0.66645,                0.33377,                0.34284,                 0.1148,                 2.5154,                 1.3513,                0.95987,               0.008614,               0.008614,               0.008614
                     17,                 2.4622,                 1.3316,                 1.0149,                0.56365,                0.29465,                0.25303,                0.08047,                 2.5952,                 1.3082,                0.99609,               0.008515,               0.008515,               0.008515
                     18,                 2.4508,                 1.2745,                0.99746,                0.61223,                 0.3376,                0.31096,                 0.0949,                 2.5608,                 1.3503,                0.95071,               0.008416,               0.008416,               0.008416
                     19,                  2.434,                 1.2648,                0.99683,                0.66683,                0.29987,                0.28771,                0.08434,                 2.5388,                 1.3774,                0.97046,               0.008317,               0.008317,               0.008317
                     20,                 2.4382,                 1.2469,                0.99417,                0.67967,                0.29876,                0.30551,                0.09988,                 2.6369,                 1.2653,                0.97482,               0.008218,               0.008218,               0.008218
                     21,                 2.4821,                 1.3028,                0.99479,                0.77392,                0.33473,                 0.3488,                 0.1206,                  2.415,                 1.2226,                0.95677,               0.008119,               0.008119,               0.008119
                     22,                 2.3836,                 1.2256,                 0.9866,                0.69375,                0.33638,                0.34203,                0.11376,                 2.4953,                 1.2744,                0.95103,                0.00802,                0.00802,                0.00802
                     23,                  2.386,                 1.2363,                0.98934,                0.67632,                0.32073,                0.31869,                0.11218,                 2.4166,                 1.2476,                0.94627,               0.007921,               0.007921,               0.007921
                     24,                 2.3755,                 1.1978,                0.96479,                0.67311,                0.32855,                0.33592,                0.12088,                 2.4126,                 1.1356,                 0.9321,               0.007822,               0.007822,               0.007822
                     25,                 2.3693,                 1.2151,                 0.9821,                0.67008,                0.32986,                0.32136,                0.11355,                 2.5243,                 1.2991,                0.94626,               0.007723,               0.007723,               0.007723
                     26,                 2.3446,                 1.2206,                0.99478,                0.71589,                0.32855,                0.33724,                0.11665,                 2.4752,                 1.4441,                0.94201,               0.007624,               0.007624,               0.007624
                     27,                 2.3328,                 1.1762,                0.97194,                0.68389,                0.35332,                0.36891,                0.12424,                  2.417,                 1.1475,                0.92546,               0.007525,               0.007525,               0.007525
