                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4276,                 46.991,                 2.0825,                      0,                      0,                      0,                      0,                 5.1303,                 7.2863,                 1.6629,               0.070476,              0.0032804,              0.0032804
                      2,                 3.6691,                 2.1098,                 1.2199,                  2e-05,                 0.0013,                  1e-05,                      0,                 4.3657,                    inf,                 1.7262,               0.040411,              0.0065483,              0.0065483
                      3,                   3.47,                 1.9203,                 1.1503,                0.26651,                0.11322,                0.05915,                 0.0133,                 4.0416,                 2.4319,                 1.2724,               0.010279,              0.0097501,              0.0097501
                      4,                 3.3742,                 1.8004,                 1.1631,                 0.3503,                0.16558,                0.15151,                0.03824,                 3.6969,                 1.6647,                 1.1468,               0.009703,               0.009703,               0.009703
                      5,                 3.3439,                 1.7653,                 1.1039,                0.10521,                0.14472,                0.12247,                0.03571,                 3.6427,                 3.2239,                 1.1346,               0.009703,               0.009703,               0.009703
                      6,                 3.1562,                 1.6414,                 1.1071,                0.48718,                0.22947,                0.18814,                 0.0449,                 3.2959,                 1.7732,                 1.0707,               0.009604,               0.009604,               0.009604
                      7,                 3.0634,                 1.5628,                 1.0845,                0.33173,                0.15254,                0.10191,                0.02511,                 3.8045,                 1.6259,                 1.1005,               0.009505,               0.009505,               0.009505
                      8,                 3.0005,                 1.4714,                 1.0715,                0.36593,                0.15124,                0.13211,                0.03846,                 3.7636,                 1.6089,                 1.1184,               0.009406,               0.009406,               0.009406
                      9,                 3.0212,                 1.5075,                 1.0715,                0.52856,                0.24511,                0.24221,                0.06268,                 3.1985,                 1.5332,                 1.0489,               0.009307,               0.009307,               0.009307
                     10,                 2.9535,                 1.4558,                 1.0542,                0.21951,                0.01173,                0.11525,                0.05363,                 3.8233,                 6.2648,                 1.1812,               0.009208,               0.009208,               0.009208
                     11,                 2.9205,                 1.4174,                 1.0542,                0.01163,                0.00261,                0.00827,                0.00252,                 5.3824,                 3.9833,                 2.2279,               0.009109,               0.009109,               0.009109
                     12,                 2.8482,                 1.3551,                 1.0512,                0.41149,                0.15515,                0.14511,                0.03992,                 3.6381,                 1.3891,                 1.1533,                0.00901,                0.00901,                0.00901
                     13,                 2.8954,                 1.3897,                 1.0606,                0.63115,                0.28944,                0.29531,                0.08682,                 2.8674,                 1.2193,                 0.9917,               0.008911,               0.008911,               0.008911
                     14,                 2.8532,                 1.4103,                 1.0552,                0.54264,                0.22425,                0.24676,                 0.0747,                 3.0327,                 1.4166,                 1.0255,               0.008812,               0.008812,               0.008812
                     15,                 2.7901,                 1.3756,                 1.0165,                0.09877,                0.02086,                  0.055,                0.01782,                 4.8349,                 4.7772,                 1.6011,               0.008713,               0.008713,               0.008713
