                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.938,                 71.845,                0.88897,                  0.088,                0.01434,                0.00524,                0.00077,                 5.6935,                 8.2943,                 1.7998,               0.070476,              0.0032804,              0.0032804
                      2,                 4.0915,                 1.7265,                 1.0294,                0.04342,                0.01434,                0.00629,                0.00146,                 5.2961,                 42.355,                 1.1923,               0.040411,              0.0065483,              0.0065483
                      3,                 3.8809,                 1.7425,                0.98364,                0.17482,                0.05346,                0.03405,                0.00683,                 4.3754,                 2.0195,                 1.0643,               0.010279,              0.0097501,              0.0097501
                      4,                 3.7174,                 1.6374,                0.99449,                0.26286,                0.07432,                0.05575,                0.01142,                 4.0197,                 1.9357,                0.99893,               0.009703,               0.009703,               0.009703
                      5,                 3.6033,                 1.5831,                0.93618,                0.15439,                0.02999,                0.02609,                 0.0053,                 4.5966,                 1.5012,                 1.0902,               0.009703,               0.009703,               0.009703
                      6,                 3.5119,                  1.503,                0.95036,                0.25723,                0.06051,                0.07812,                0.01925,                 4.0105,                 1.4586,                 1.0079,               0.009604,               0.009604,               0.009604
                      7,                 3.4444,                 1.4583,                0.93858,                0.40445,                0.09387,                0.10034,                0.02841,                 3.4453,                 1.4256,                0.92189,               0.009505,               0.009505,               0.009505
                      8,                 3.3773,                 1.4341,                0.93069,                0.33675,                0.07301,                0.05456,                0.01252,                 4.0691,                  2.437,                0.97961,               0.009406,               0.009406,               0.009406
                      9,                 3.2443,                 1.3595,                0.92452,                0.47768,                0.12125,                0.11761,                0.03495,                 3.2501,                 1.4858,                   0.96,               0.009307,               0.009307,               0.009307
                     10,                 3.1869,                 1.4167,                0.90611,                0.42604,                  0.103,                 0.1382,                0.04015,                 3.5477,                 1.2465,                0.98002,               0.009208,               0.009208,               0.009208
                     11,                 3.2899,                 1.4407,                0.91955,                0.42873,                0.10691,                0.10229,                0.02577,                 3.4536,                 1.3352,                0.94134,               0.009109,               0.009109,               0.009109
                     12,                 3.1451,                 1.4448,                0.91079,                0.29822,                0.09648,                0.06807,                 0.0147,                 3.8363,                 1.7171,                 0.9516,                0.00901,                0.00901,                0.00901
                     13,                 3.1478,                 1.3489,                0.92394,                0.43043,                0.09648,                0.13892,                0.03904,                 3.4099,                 1.2466,                0.92525,               0.008911,               0.008911,               0.008911
                     14,                 3.0866,                 1.2974,                0.90883,                0.42279,                0.10952,                0.11735,                0.02891,                 3.4012,                 1.2341,                0.93522,               0.008812,               0.008812,               0.008812
                     15,                 3.0994,                 1.2325,                0.88634,                0.51936,                0.12907,                0.17957,                0.05909,                 3.0767,                 1.1474,                0.89864,               0.008713,               0.008713,               0.008713
                     16,                 3.0587,                 1.3239,                0.92185,                0.42247,                0.08605,                0.08959,                0.02085,                 3.6016,                 1.7066,                0.95692,               0.008614,               0.008614,               0.008614
                     17,                  3.037,                 1.3725,                0.90003,                0.59062,                0.11343,                0.12968,                0.03935,                 3.1347,                 1.1886,                0.91837,               0.008515,               0.008515,               0.008515
                     18,                 3.0148,                 1.2632,                   0.91,                 0.5497,                0.13559,                 0.1422,                0.03842,                 3.0192,                 1.2664,                0.89058,               0.008416,               0.008416,               0.008416
                     19,                 2.9974,                 1.3213,                0.88814,                0.51056,                0.14081,                0.16746,                0.05004,                 2.9846,                 1.1226,                0.87683,               0.008317,               0.008317,               0.008317
