                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2869,                 40.186,                  1.922,                0.17195,                0.08996,                0.02903,                0.00615,                 4.4795,                 7.0791,                 1.7563,               0.070476,              0.0032804,              0.0032804
                      2,                 3.4384,                 1.6263,                 1.1937,                0.37317,                0.26988,                 0.1887,                0.04392,                 3.4929,                  14.23,                 1.1013,               0.040411,              0.0065483,              0.0065483
                      3,                 3.1343,                 1.5536,                 1.1279,                0.41711,                0.20991,                0.14067,                0.03262,                 3.6262,                 4.0395,                 1.1469,               0.010279,              0.0097501,              0.0097501
                      4,                 2.9994,                 1.4842,                 1.1195,                0.35505,                0.16037,                0.08091,                 0.0167,                 4.0218,                 5.7272,                 1.2059,               0.009703,               0.009703,               0.009703
                      5,                 2.9915,                 1.4844,                 1.0584,                0.57529,                0.24772,                0.21162,                0.05382,                 3.0711,                 3.3954,                 1.0217,               0.009703,               0.009703,               0.009703
                      6,                  2.946,                 1.4345,                 1.0681,                 0.5348,                0.26858,                0.21744,                0.05638,                 3.0798,                 3.8305,                 1.0201,               0.009604,               0.009604,               0.009604
                      7,                 2.7797,                 1.3701,                 1.0541,                0.57671,                0.29987,                0.24833,                0.06545,                 3.0066,                 2.1431,                 1.0141,               0.009505,               0.009505,               0.009505
                      8,                 2.7047,                  1.321,                 1.0369,                0.55447,                0.26988,                0.25624,                0.08138,                 2.9194,                 1.2949,                 1.0092,               0.009406,               0.009406,               0.009406
                      9,                 2.7942,                 1.3339,                  1.038,                0.55812,                 0.2764,                0.24109,                0.06905,                 3.1393,                 1.5938,                 1.0541,               0.009307,               0.009307,               0.009307
                     10,                 2.7394,                 1.3218,                 1.0355,                0.63515,                0.32684,                0.34025,                0.09888,                 2.8257,                 1.2221,                 1.0166,               0.009208,               0.009208,               0.009208
                     11,                 2.6839,                 1.2843,                 1.0313,                0.57567,                0.29726,                0.26393,                0.08355,                 2.8851,                 2.2372,                 1.0205,               0.009109,               0.009109,               0.009109
                     12,                 2.6404,                 1.2546,                 1.0138,                0.66874,                0.29465,                0.29335,                0.08476,                  2.863,                 1.3697,                 1.0065,                0.00901,                0.00901,                0.00901
                     13,                 2.6096,                 1.2372,                 1.0188,                0.63988,                0.31421,                0.29786,                0.08939,                 2.7456,                 1.6474,                0.97091,               0.008911,               0.008911,               0.008911
                     14,                  2.666,                  1.266,                 1.0331,                0.59147,                0.27936,                0.27041,                0.08414,                 2.8917,                 1.1846,                 1.0084,               0.008812,               0.008812,               0.008812
                     15,                 2.5429,                 1.2132,                0.99018,                0.63437,                 0.3116,                0.31037,                 0.1001,                 2.7039,                 1.2971,                0.96818,               0.008713,               0.008713,               0.008713
